Label,Area,Circ.,AR,Round,Solidity
(4) LMTK 5%,100,0.248,3.033,0.330,0.495
(4) LMTK 5%,146,0.234,1.842,0.543,0.565
(4) LMTK 5%,180,0.148,1.948,0.513,0.519
(4) LMTK 5%,162,0.220,2.484,0.403,0.561
(4) LMTK 5%,106,0.342,1.394,0.717,0.625
(4) LMTK 5%,120,0.442,1.444,0.692,0.762
(4) LMTK 5%,112,0.265,2.403,0.416,0.546
(4) LMTK 5%,134,0.163,1.504,0.665,0.413
(4) LMTK 5%,120,0.206,2.170,0.461,0.510
(4) LMTK 5%,163,0.146,1.692,0.591,0.552
(4) LMTK 5%,107,0.247,1.471,0.680,0.586
(4) LMTK 5%,111,0.301,1.904,0.525,0.577
(4) LMTK 5%,107,0.234,2.049,0.488,0.519
(4) LMTK 5%,106,0.379,1.347,0.742,0.700
(4) LMTK 5%,207,0.125,2.167,0.461,0.442
(4) LMTK 5%,142,0.352,2.568,0.389,0.714
(4) LMTK 5%,138,0.151,1.545,0.647,0.573
(4) LMTK 5%,150,0.235,1.704,0.587,0.521
(5) LMTK 10%,245,0.119,2.828,0.354,0.417
(5) LMTK 10%,116,0.224,2.064,0.484,0.480
(5) LMTK 10%,111,0.142,2.141,0.467,0.496
(5) LMTK 10%,177,0.161,1.980,0.505,0.470
(5) LMTK 10%,108,0.251,1.915,0.522,0.568
(5) LMTK 10%,122,0.213,1.167,0.857,0.521
(5) LMTK 10%,103,0.306,2.491,0.401,0.594
(5) LMTK 10%,172,0.161,1.259,0.794,0.432
(5) LMTK 10%,146,0.203,1.691,0.591,0.554
(5) LMTK 10%,109,0.626,1.287,0.777,0.816
(5) LMTK 10%,381,0.075,1.790,0.559,0.381
(5) LMTK 10%,124,0.330,1.224,0.817,0.631
(5) LMTK 10%,159,0.527,1.120,0.893,0.791
(5) LMTK 10%,116,0.216,1.290,0.775,0.520
(5) LMTK 10%,368,0.138,1.684,0.594,0.403
(5) LMTK 10%,104,0.189,1.522,0.657,0.501
(5) LMTK 10%,110,0.196,1.075,0.930,0.580
(5) LMTK 10%,106,0.187,1.801,0.555,0.421
(5) LMTK 10%,109,0.213,2.815,0.355,0.472
(5) LMTK 10%,112,0.191,2.429,0.412,0.432
(5) LMTK 10%,191,0.164,1.555,0.643,0.530
(5) LMTK 10%,104,0.453,1.161,0.861,0.768
(5) LMTK 10%,155,0.169,2.302,0.434,0.522
(5) LMTK 10%,167,0.213,1.608,0.622,0.524
(5) LMTK 10%,201,0.127,2.099,0.476,0.439
(5) LMTK 10%,199,0.148,2.223,0.450,0.469
(5) LMTK 10%,132,0.294,2.688,0.372,0.606
(5) LMTK 10%,114,0.175,1.836,0.545,0.500
(5) LMTK 10%,134,0.233,3.514,0.285,0.583
(5) LMTK 10%,155,0.207,1.790,0.559,0.551
(5) LMTK 10%,196,0.159,1.843,0.543,0.381
(5) LMTK 10%,116,0.154,2.369,0.422,0.390
(5) LMTK 10%,190,0.220,2.045,0.489,0.599
(5) LMTK 10%,153,0.262,1.660,0.602,0.529
(5) LMTK 10%,102,0.424,1.814,0.551,0.630
(5) LMTK 10%,310,0.090,1.552,0.645,0.502
(5) LMTK 10%,124,0.317,1.218,0.821,0.685
(5) LMTK 10%,214,0.168,1.522,0.657,0.413
(5) LMTK 10%,102,0.303,1.356,0.737,0.600
(5) LMTK 10%,160,0.162,1.732,0.577,0.525
(5) LMTK 10%,218,0.126,3.247,0.308,0.369
(5) LMTK 10%,132,0.252,1.378,0.726,0.603
(5) LMTK 10%,119,0.210,1.402,0.713,0.494
(5) LMTK 10%,175,0.259,1.959,0.511,0.565
(5) LMTK 10%,110,0.182,2.190,0.457,0.455
(5) LMTK 10%,171,0.160,1.578,0.634,0.552
(5) LMTK 10%,100,0.244,1.680,0.595,0.559
(5) LMTK 10%,133,0.170,3.903,0.256,0.458
(5) LMTK 10%,164,0.155,2.143,0.467,0.491
(5) LMTK 10%,199,0.167,1.662,0.602,0.526
(5) LMTK 10%,137,0.181,2.247,0.445,0.491
(5) LMTK 10%,102,0.215,2.182,0.458,0.543
(5) LMTK 10%,234,0.136,1.475,0.678,0.450
(5) LMTK 10%,137,0.241,1.893,0.528,0.621
(5) LMTK 10%,112,0.189,2.101,0.476,0.502
(5) LMTK 10%,156,0.182,1.443,0.693,0.522
(5) LMTK 10%,159,0.127,1.581,0.633,0.486
(5) LMTK 10%,108,0.165,3.934,0.254,0.428
(5) LMTK 10%,112,0.242,2.746,0.364,0.636
(5) LMTK 10%,101,0.308,1.680,0.595,0.614
(5) LMTK 10%,107,0.222,1.675,0.597,0.511
(5) LMTK 10%,120,0.241,1.233,0.811,0.535
(5) LMTK 10%,285,0.090,2.216,0.451,0.405
(5) LMTK 10%,119,0.198,1.739,0.575,0.481
(5) LMTK 10%,100,0.483,1.227,0.815,0.683
(5) LMTK 10%,129,0.245,2.050,0.488,0.620
(5) LMTK 10%,135,0.261,1.371,0.729,0.591
(5) LMTK 10%,100,0.258,1.438,0.695,0.568
(5) LMTK 10%,127,0.312,2.227,0.449,0.562
(5) LMTK 10%,100,0.180,1.726,0.579,0.485
(5) LMTK 10%,163,0.241,2.885,0.347,0.627
(5) LMTK 10%,156,0.194,2.098,0.477,0.599
(5) LMTK 10%,109,0.219,2.208,0.453,0.544
(5) LMTK 10%,152,0.188,3.926,0.255,0.581
(5) LMTK 10%,109,0.342,2.202,0.454,0.659
(5) LMTK 10%,107,0.255,2.044,0.489,0.585
(5) LMTK 10%,173,0.124,2.089,0.479,0.395
(5) LMTK 10%,306,0.099,1.551,0.645,0.535
(5) LMTK 10%,111,0.316,1.472,0.680,0.643
(5) LMTK 10%,147,0.220,1.424,0.702,0.598
(5) LMTK 10%,106,0.226,2.476,0.404,0.597
(5) LMTK 10%,133,0.184,1.559,0.642,0.438
(5) LMTK 10%,325,0.083,2.687,0.372,0.416
(5) LMTK 10%,116,0.355,1.511,0.662,0.619
(5) LMTK 10%,233,0.371,1.953,0.512,0.662
(5) LMTK 10%,124,0.214,1.602,0.624,0.520
(5) LMTK 10%,139,0.213,1.527,0.655,0.462
(5) LMTK 10%,173,0.172,1.468,0.681,0.468
(5) LMTK 10%,111,0.299,1.630,0.614,0.548
(5) LMTK 10%,159,0.189,2.548,0.392,0.474
(5) LMTK 10%,243,0.071,1.024,0.976,0.266
(5) LMTK 10%,153,0.201,1.683,0.594,0.596
(5) LMTK 10%,171,0.162,2.333,0.429,0.505
(5) LMTK 10%,152,0.206,2.184,0.458,0.578
(5) LMTK 10%,107,0.106,2.007,0.498,0.435
(5) LMTK 10%,162,0.137,3.023,0.331,0.444
(5) LMTK 10%,124,0.254,1.485,0.673,0.481
(5) LMTK 10%,164,0.164,1.755,0.570,0.462
(5) LMTK 10%,100,0.236,2.819,0.355,0.442
(5) LMTK 10%,113,0.187,1.207,0.828,0.445
(5) LMTK 10%,139,0.174,3.081,0.325,0.519
(5) LMTK 10%,117,0.535,1.550,0.645,0.748
(5) LMTK 10%,186,0.204,2.520,0.397,0.535
(5) LMTK 10%,112,0.190,1.976,0.506,0.533
(5) LMTK 10%,143,0.267,1.469,0.681,0.579
(5) LMTK 10%,167,0.130,1.715,0.583,0.374
(5) LMTK 10%,111,0.382,1.347,0.742,0.683
(5) LMTK 10%,106,0.529,1.754,0.570,0.757
(5) LMTK 10%,253,0.107,3.338,0.300,0.374
(5) LMTK 10%,123,0.175,3.173,0.315,0.484
(5) LMTK 10%,177,0.199,1.600,0.625,0.515
(5) LMTK 10%,107,0.219,1.250,0.800,0.603
(5) LMTK 10%,101,0.164,1.567,0.638,0.456
(5) LMTK 10%,109,0.223,1.972,0.507,0.479
(5) LMTK 10%,175,0.108,2.211,0.452,0.463
(5) LMTK 10%,138,0.177,2.444,0.409,0.434
(5) LMTK 10%,107,0.139,1.269,0.788,0.424
(5) LMTK 10%,128,0.218,1.886,0.530,0.509
(5) LMTK 10%,152,0.167,2.143,0.467,0.462
(5) LMTK 10%,111,0.218,2.093,0.478,0.485
(5) LMTK 10%,110,0.420,1.830,0.546,0.705
(5) LMTK 10%,165,0.113,1.539,0.650,0.367
(5) LMTK 10%,219,0.107,2.056,0.486,0.323
(5) LMTK 10%,108,0.217,1.416,0.706,0.468
(5) LMTK 10%,125,0.164,1.198,0.835,0.568
(5) LMTK 10%,138,0.244,1.032,0.969,0.622
(5) LMTK 10%,116,0.404,2.139,0.468,0.701
(5) LMTK 10%,189,0.216,2.134,0.469,0.547
(5) LMTK 10%,103,0.274,3.124,0.320,0.542
(5) LMTK 10%,182,0.185,2.119,0.472,0.544
(5) LMTK 10%,109,0.467,1.558,0.642,0.770
(5) LMTK 10%,115,0.323,2.630,0.380,0.610
(5) LMTK 10%,105,0.357,1.981,0.505,0.623
(5) LMTK 10%,191,0.255,1.903,0.526,0.614
(5) LMTK 10%,123,0.268,1.585,0.631,0.639
(5) LMTK 10%,101,0.260,1.667,0.600,0.608
(5) LMTK 10%,191,0.318,3.052,0.328,0.624
(5) LMTK 10%,119,0.391,2.433,0.411,0.702
(5) LMTK 10%,101,0.254,1.548,0.646,0.650
(5) LMTK 10%,123,0.357,1.489,0.671,0.670
(5) LMTK 10%,160,0.250,1.943,0.515,0.562
(5) LMTK 10%,137,0.234,2.617,0.382,0.613
(5) LMTK 10%,148,0.353,1.360,0.735,0.659
(5) LMTK 10%,137,0.307,1.393,0.718,0.608
(5) LMTK 10%,140,0.181,2.128,0.470,0.490
(5) LMTK 10%,103,0.312,1.749,0.572,0.644
(5) LMTK 10%,219,0.170,1.562,0.640,0.463
(5) LMTK 10%,154,0.174,2.483,0.403,0.531
(5) LMTK 10%,113,0.151,1.186,0.843,0.415
(5) LMTK 10%,213,0.118,2.496,0.401,0.421
(5) LMTK 10%,269,0.143,1.820,0.549,0.482
(5) LMTK 10%,117,0.589,1.824,0.548,0.785
(5) LMTK 10%,139,0.171,2.137,0.468,0.461
(5) LMTK 10%,138,0.135,3.974,0.252,0.519
(5) LMTK 10%,137,0.251,1.855,0.539,0.612
(5) LMTK 10%,139,0.199,1.567,0.638,0.572
(5) LMTK 10%,224,0.133,1.329,0.752,0.511
(5) LMTK 10%,189,0.230,1.933,0.517,0.599
(5) LMTK 10%,183,0.306,1.756,0.570,0.654
(5) LMTK 10%,129,0.416,1.470,0.680,0.658
(5) LMTK 10%,120,0.246,1.290,0.775,0.563
(5) LMTK 10%,172,0.161,2.321,0.431,0.461
(5) LMTK 10%,157,0.253,2.262,0.442,0.606
(5) LMTK 10%,110,0.225,2.528,0.396,0.547
(5) LMTK 10%,221,0.162,3.326,0.301,0.531
(5) LMTK 10%,289,0.158,2.174,0.460,0.525
(5) LMTK 10%,104,0.239,2.263,0.442,0.634
(5) LMTK 10%,352,0.389,1.191,0.840,0.769
(5) LMTK 10%,115,0.193,1.636,0.611,0.582
(5) LMTK 10%,209,0.211,2.234,0.448,0.614
(5) LMTK 10%,110,0.262,1.283,0.779,0.606
(5) LMTK 10%,434,0.084,1.918,0.521,0.450
(5) LMTK 10%,162,0.357,1.096,0.913,0.723
(5) LMTK 10%,120,0.222,1.283,0.780,0.539
(5) LMTK 10%,132,0.285,2.683,0.373,0.601
(5) LMTK 10%,103,0.205,3.190,0.313,0.551
(5) LMTK 10%,104,0.208,2.642,0.379,0.456
(5) LMTK 10%,115,0.211,1.855,0.539,0.518
(5) LMTK 10%,199,0.120,2.047,0.489,0.383
(5) LMTK 10%,102,0.205,1.341,0.745,0.557
(5) LMTK 10%,111,0.182,1.999,0.500,0.469
(5) LMTK 10%,100,0.293,1.708,0.585,0.592
(5) LMTK 10%,150,0.347,1.856,0.539,0.647
(5) LMTK 10%,428,0.093,1.468,0.681,0.460
(5) LMTK 10%,133,0.271,1.943,0.515,0.586
(5) LMTK 10%,100,0.190,2.707,0.369,0.458
(5) LMTK 10%,115,0.242,4.721,0.212,0.567
(5) LMTK 10%,159,0.282,2.232,0.448,0.635
(5) LMTK 10%,118,0.665,1.738,0.575,0.852
(5) LMTK 10%,164,0.175,2.327,0.430,0.573
(5) LMTK 10%,145,0.161,1.735,0.576,0.375
(5) LMTK 10%,106,0.289,1.882,0.531,0.654
(5) LMTK 10%,138,0.131,1.659,0.603,0.419
(5) LMTK 10%,125,0.159,1.605,0.623,0.524
(5) LMTK 10%,156,0.131,3.793,0.264,0.421
(5) LMTK 10%,217,0.103,3.089,0.324,0.512
(5) LMTK 10%,250,0.091,1.362,0.734,0.449
(5) LMTK 10%,115,0.147,1.930,0.518,0.383
(5) LMTK 10%,112,0.424,1.443,0.693,0.619
(5) LMTK 10%,178,0.421,1.196,0.836,0.769
(5) LMTK 10%,137,0.343,1.752,0.571,0.670
(5) LMTK 10%,194,0.096,3.375,0.296,0.467
(5) LMTK 10%,136,0.200,1.179,0.849,0.544
(5) LMTK 10%,175,0.295,2.024,0.494,0.612
(5) LMTK 10%,112,0.197,3.131,0.319,0.530
(5) LMTK 10%,102,0.272,2.630,0.380,0.583
(5) LMTK 10%,124,0.195,3.821,0.262,0.425
(5) LMTK 10%,132,0.322,1.219,0.820,0.667
(5) LMTK 10%,114,0.437,1.055,0.948,0.724
(5) LMTK 10%,171,0.169,2.249,0.445,0.483
(5) LMTK 10%,135,0.444,2.064,0.484,0.659
(5) LMTK 10%,103,0.322,2.665,0.375,0.590
(5) LMTK 10%,123,0.193,3.223,0.310,0.457
(5) LMTK 10%,112,0.225,1.151,0.869,0.574
(5) LMTK 10%,115,0.262,1.768,0.566,0.635
(5) LMTK 10%,104,0.210,2.572,0.389,0.621
(5) LMTK 10%,144,0.876,1.126,0.888,0.938
(5) LMTK 10%,114,0.322,1.786,0.560,0.640
(5) LMTK 10%,140,0.193,2.378,0.420,0.446
(5) LMTK 10%,130,0.197,4.290,0.233,0.506
(5) LMTK 10%,155,0.227,1.377,0.726,0.552
(5) LMTK 10%,117,0.238,1.031,0.970,0.591
(5) LMTK 10%,129,0.302,1.371,0.729,0.667
(5) LMTK 10%,108,0.372,3.803,0.263,0.692
(5) LMTK 10%,154,0.218,2.722,0.367,0.501
(5) LMTK 10%,118,0.244,1.452,0.689,0.567
(5) LMTK 10%,105,0.242,2.649,0.378,0.493
(5) LMTK 10%,108,0.199,2.591,0.386,0.441
(5) LMTK 10%,103,0.354,2.171,0.461,0.665
(5) LMTK 10%,218,0.189,2.981,0.335,0.523
(5) LMTK 10%,134,0.259,2.409,0.415,0.605
(5) LMTK 10%,114,0.299,2.738,0.365,0.620
(5) LMTK 10%,138,0.328,2.827,0.354,0.645
(5) LMTK 10%,119,0.228,1.946,0.514,0.515
(5) LMTK 10%,104,0.189,3.393,0.295,0.507
(5) LMTK 10%,113,0.716,1.550,0.645,0.840
(5) LMTK 10%,143,0.297,2.340,0.427,0.692
(5) LMTK 10%,351,0.134,1.583,0.632,0.538
(5) LMTK 10%,104,0.265,1.274,0.785,0.625
(5) LMTK 10%,368,0.072,6.386,0.157,0.415
(5) LMTK 10%,249,0.084,1.510,0.662,0.354
(5) LMTK 10%,109,0.361,2.638,0.379,0.604
(5) LMTK 10%,118,0.219,3.735,0.268,0.513
(5) LMTK 10%,747,0.113,1.625,0.615,0.519
(5) LMTK 10%,190,0.262,2.717,0.368,0.638
(5) LMTK 10%,129,0.300,3.916,0.255,0.648
(5) LMTK 10%,155,0.150,4.709,0.212,0.435
(5) LMTK 10%,161,0.268,1.690,0.592,0.584
(5) LMTK 10%,260,0.222,1.213,0.824,0.592
(5) LMTK 10%,130,0.219,2.878,0.347,0.514
(5) LMTK 10%,159,0.442,1.183,0.846,0.693
(5) LMTK 10%,102,0.398,2.037,0.491,0.644
(5) LMTK 10%,114,0.297,1.248,0.801,0.632
(5) LMTK 10%,105,0.597,1.322,0.756,0.792
(5) LMTK 10%,101,0.504,1.364,0.733,0.687
(5) LMTK 10%,187,0.294,2.606,0.384,0.585
(5) LMTK 10%,136,0.349,1.969,0.508,0.680
(5) LMTK 10%,171,0.225,2.264,0.442,0.596
(5) LMTK 10%,149,0.244,2.680,0.373,0.513
(5) LMTK 10%,225,0.180,2.513,0.398,0.584
(5) LMTK 10%,113,0.293,1.901,0.526,0.695
(5) LMTK 10%,104,0.313,1.116,0.896,0.605
(5) LMTK 10%,115,0.364,1.011,0.989,0.676
(5) LMTK 10%,108,0.372,1.637,0.611,0.667
(5) LMTK 10%,114,0.322,2.896,0.345,0.598
(5) LMTK 10%,158,0.373,1.789,0.559,0.678
(5) LMTK 10%,129,0.248,2.043,0.489,0.623
(5) LMTK 10%,120,0.290,3.135,0.319,0.591
(5) LMTK 10%,175,0.325,2.138,0.468,0.693
(5) LMTK 10%,109,0.331,1.262,0.793,0.632
(5) LMTK 10%,100,0.252,2.102,0.476,0.539
(5) LMTK 10%,153,0.246,2.020,0.495,0.578
(5) LMTK 10%,110,0.275,1.702,0.588,0.599
(5) LMTK 10%,108,0.385,1.787,0.560,0.589
(5) LMTK 10%,238,0.253,3.300,0.303,0.611
(5) LMTK 10%,148,0.312,2.446,0.409,0.612
(5) LMTK 10%,113,0.465,1.503,0.665,0.711
(5) LMTK 10%,122,0.195,1.802,0.555,0.550
(5) LMTK 10%,122,0.252,3.190,0.314,0.541
(5) LMTK 10%,511,0.433,1.218,0.821,0.762
(5) LMTK 10%,134,0.383,2.424,0.412,0.722
(5) LMTK 10%,101,0.233,2.019,0.495,0.501
(5) LMTK 10%,116,0.197,1.999,0.500,0.583
(5) LMTK 10%,100,0.325,1.476,0.678,0.637
(5) LMTK 10%,107,0.327,3.187,0.314,0.590
(5) LMTK 10%,168,0.304,1.572,0.636,0.593
(5) LMTK 10%,121,0.420,3.192,0.313,0.736
(5) LMTK 10%,124,0.172,1.368,0.731,0.523
(5) LMTK 10%,168,0.126,1.229,0.814,0.425
(5) LMTK 10%,197,0.132,3.548,0.282,0.496
(5) LMTK 10%,106,0.319,1.412,0.708,0.635
